window,static-small,static-oracle,static-large,reactive,usl
0,5868.66,5868.66,5868.66,5868.66,5868.66
1,10831.0,27528.8,21921.6,7078.84,2940.77
2,10892.4,27684.9,22045.8,8422.44,13171.7
3,10995.4,27946.5,22254.2,9772.23,19795.5
4,10825.7,27515.2,21910.7,10825.7,26532.5
5,10986.6,27924.3,22236.5,12160.6,26469.1
6,10853.5,27585.9,21967.1,13124.6,21967.1
7,10962.4,27862.9,22187.6,14329.5,23237.0
8,10909.2,27727.5,22079.8,15278.4,24198.5
9,10936.2,27796.2,22134.5,16287.9,25333.3
10,10759.1,27345.9,21775.9,16931.6,25920.9
11,10910.2,27730.2,22081.9,18041.3,27137.9
12,10916.2,27745.4,22094.1,18875.6,27681.3
13,10917.6,27749.0,22096.9,19655.6,27746.6
14,10875.7,27642.3,22011.9,20308.6,27640.0
15,10818.5,27497.1,21896.3,20882.3,27494.7
16,10967.1,27874.6,22196.9,21814.9,27872.2
17,10907.2,27722.6,22075.9,22296.0,27720.1
18,11049.7,28084.8,22364.3,23153.9,28082.4
19,10997.5,27951.9,22258.5,23568.4,27949.4
20,10877.9,27648.0,22016.5,23792.7,27645.7
21,10889.2,27676.7,22039.3,24262.0,27674.3
22,10790.1,27424.8,21838.7,24447.2,27422.5
23,10832.0,27531.4,21923.6,24916.7,27529.1
24,10784.1,27409.5,21826.6,25147.6,27407.2
25,11199.0,28464.2,22666.4,26438.3,28461.8
26,11076.9,28153.7,22419.2,26440.0,28151.3
27,10917.5,27748.6,22096.6,26317.9,27746.2
28,10809.6,27474.5,21878.3,26287.9,27472.1
29,11068.8,28133.3,22402.9,27128.5,28130.8
30,11046.1,28075.6,22356.9,27259.0,28073.2
31,10957.9,27851.3,22178.4,27203.6,27848.9
32,10942.3,27811.8,22146.9,27306.1,27809.4
33,10838.6,27548.1,21937.0,27167.4,27545.8
34,10882.4,27659.4,22025.5,27379.2,27657.0
35,10935.9,27795.4,22133.8,27598.8,27793.0
36,10871.3,27631.3,22003.2,27504.0,27629.0
37,11060.4,28111.9,22385.9,28035.9,28109.5
38,11040.0,28059.9,22344.5,28022.8,28057.5
39,10893.5,27687.8,22048.1,27675.8,27685.4
40,11032.8,28041.7,22330.0,28041.7,28039.3
41,10793.4,27433.2,21845.4,27433.2,27430.8
42,10843.6,27560.9,21947.1,27549.9,27558.6
43,10850.9,27579.4,21961.8,27546.8,27577.1
44,10891.1,27681.6,22043.2,27617.7,27679.3
45,10922.0,27760.1,22105.7,27655.6,27757.8
46,10925.3,27768.6,22112.5,27615.2,27766.3
47,11122.9,28270.6,22512.3,28056.7,28268.2
48,10894.2,27689.5,22049.5,27416.1,27687.1
49,10861.9,27607.4,21984.1,27264.4,27604.9
50,10957.2,27849.5,22176.9,27426.3,27847.1
51,10989.0,27930.5,22241.4,27422.7,27928.1
52,11016.6,28000.7,22297.3,27402.6,27998.3
53,10920.9,27757.2,22103.4,27071.2,27754.8
54,10961.7,27861.1,22186.2,27074.4,27858.6
55,11038.5,28056.2,22341.5,27161.1,28053.8
56,11107.3,28231.2,22480.8,27222.9,28228.8
57,10820.3,27501.5,21899.8,26411.1,27499.2
58,10850.9,27579.3,21961.7,26374.0,27576.9
59,10981.5,27911.4,22226.2,26575.6,27909.0
60,10897.5,27697.8,22056.1,26254.4,27695.4
61,10743.7,27306.8,21744.8,25765.3,27304.5
62,10867.4,27621.3,21995.2,26062.0,27618.9
63,10798.7,27446.7,21856.1,25897.3,27444.3
64,10723.5,27255.5,21703.9,25716.9,27253.1
65,10922.2,27760.7,22106.2,26193.6,27758.3
66,11019.8,28008.7,22303.7,26427.6,28006.4
67,10956.4,27847.4,22175.3,26275.4,27845.1
68,11003.5,27967.2,22270.6,26388.4,27964.7
69,10779.0,27396.7,21816.4,25850.1,27394.4
70,10959.4,27855.2,22181.4,26282.7,27852.7
71,11178.2,28411.2,22624.2,26807.3,28408.8
72,10897.0,27696.5,22055.1,26132.9,27694.1
73,10775.2,27387.0,21808.6,25840.9,27384.6
74,11053.6,28094.5,22372.1,26508.6,28092.2
75,10928.8,27777.4,22119.5,26209.3,27775.0
76,10982.6,27914.1,22228.3,26338.3,27911.7
77,10987.8,27927.3,22238.9,26350.8,27924.9
78,10905.0,27716.9,22071.3,26152.2,27714.4
79,10902.5,27710.4,22066.2,26146.1,27708.1
