benchmark,mode,pool,poolSize,workload,threads,score,score_error,unit
transaction,thrpt,hikari,1,readMostly,128,5826.50,NaN,ops/s
transaction,thrpt,hikari,1,writeHeavy,128,4237.99,NaN,ops/s
transaction,thrpt,hikari,1,longTx,128,64.0407,NaN,ops/s
transaction,thrpt,hikari,2,readMostly,128,10398.1,NaN,ops/s
transaction,thrpt,hikari,2,writeHeavy,128,7261.13,NaN,ops/s
transaction,thrpt,hikari,2,longTx,128,128.660,NaN,ops/s
transaction,thrpt,hikari,4,readMostly,128,17031.0,NaN,ops/s
transaction,thrpt,hikari,4,writeHeavy,128,12129.6,NaN,ops/s
transaction,thrpt,hikari,4,longTx,128,256.751,NaN,ops/s
transaction,thrpt,hikari,8,readMostly,128,26713.2,NaN,ops/s
transaction,thrpt,hikari,8,writeHeavy,128,18600.4,NaN,ops/s
transaction,thrpt,hikari,8,longTx,128,510.469,NaN,ops/s
transaction,thrpt,hikari,12,readMostly,128,32971.7,NaN,ops/s
transaction,thrpt,hikari,12,writeHeavy,128,23162.5,NaN,ops/s
transaction,thrpt,hikari,12,longTx,128,771.451,NaN,ops/s
transaction,thrpt,hikari,16,readMostly,128,34039.2,NaN,ops/s
transaction,thrpt,hikari,16,writeHeavy,128,23725.6,NaN,ops/s
transaction,thrpt,hikari,16,longTx,128,1015.06,NaN,ops/s
transaction,thrpt,hikari,24,readMostly,128,32964.9,NaN,ops/s
transaction,thrpt,hikari,24,writeHeavy,128,24054.7,NaN,ops/s
transaction,thrpt,hikari,24,longTx,128,1129.28,NaN,ops/s
transaction,thrpt,hikari,32,readMostly,128,33238.0,NaN,ops/s
transaction,thrpt,hikari,32,writeHeavy,128,24252.2,NaN,ops/s
transaction,thrpt,hikari,32,longTx,128,1172.91,NaN,ops/s
transaction,thrpt,hikari,48,readMostly,128,34113.0,NaN,ops/s
transaction,thrpt,hikari,48,writeHeavy,128,24372.4,NaN,ops/s
transaction,thrpt,hikari,48,longTx,128,984.553,NaN,ops/s
transaction,thrpt,hikari,64,readMostly,128,32195.0,NaN,ops/s
transaction,thrpt,hikari,64,writeHeavy,128,22933.9,NaN,ops/s
transaction,thrpt,hikari,64,longTx,128,1227.98,NaN,ops/s
transaction,thrpt,hikari,96,readMostly,128,32595.2,NaN,ops/s
transaction,thrpt,hikari,96,writeHeavy,128,22987.3,NaN,ops/s
transaction,thrpt,hikari,96,longTx,128,1352.14,NaN,ops/s
transaction,thrpt,dbcp2,1,readMostly,128,4458.73,NaN,ops/s
transaction,thrpt,dbcp2,1,writeHeavy,128,3581.11,NaN,ops/s
transaction,thrpt,dbcp2,1,longTx,128,64.2496,NaN,ops/s
transaction,thrpt,dbcp2,2,readMostly,128,8388.78,NaN,ops/s
transaction,thrpt,dbcp2,2,writeHeavy,128,6195.54,NaN,ops/s
transaction,thrpt,dbcp2,2,longTx,128,129.493,NaN,ops/s
transaction,thrpt,dbcp2,4,readMostly,128,11797.4,NaN,ops/s
transaction,thrpt,dbcp2,4,writeHeavy,128,9025.11,NaN,ops/s
transaction,thrpt,dbcp2,4,longTx,128,257.614,NaN,ops/s
transaction,thrpt,dbcp2,8,readMostly,128,17313.7,NaN,ops/s
transaction,thrpt,dbcp2,8,writeHeavy,128,12771.8,NaN,ops/s
transaction,thrpt,dbcp2,8,longTx,128,517.669,NaN,ops/s
transaction,thrpt,dbcp2,12,readMostly,128,21634.6,NaN,ops/s
transaction,thrpt,dbcp2,12,writeHeavy,128,16185.4,NaN,ops/s
transaction,thrpt,dbcp2,12,longTx,128,771.553,NaN,ops/s
transaction,thrpt,dbcp2,16,readMostly,128,22660.8,NaN,ops/s
transaction,thrpt,dbcp2,16,writeHeavy,128,18134.1,NaN,ops/s
transaction,thrpt,dbcp2,16,longTx,128,1034.80,NaN,ops/s
transaction,thrpt,dbcp2,24,readMostly,128,26510.1,NaN,ops/s
transaction,thrpt,dbcp2,24,writeHeavy,128,22191.7,NaN,ops/s
transaction,thrpt,dbcp2,24,longTx,128,1554.16,NaN,ops/s
transaction,thrpt,dbcp2,32,readMostly,128,26140.9,NaN,ops/s
transaction,thrpt,dbcp2,32,writeHeavy,128,23367.2,NaN,ops/s
transaction,thrpt,dbcp2,32,longTx,128,2054.39,NaN,ops/s
transaction,thrpt,dbcp2,48,readMostly,128,25488.6,NaN,ops/s
transaction,thrpt,dbcp2,48,writeHeavy,128,23933.3,NaN,ops/s
transaction,thrpt,dbcp2,48,longTx,128,3096.75,NaN,ops/s
transaction,thrpt,dbcp2,64,readMostly,128,24704.0,NaN,ops/s
transaction,thrpt,dbcp2,64,writeHeavy,128,23084.4,NaN,ops/s
transaction,thrpt,dbcp2,64,longTx,128,4111.14,NaN,ops/s
transaction,thrpt,dbcp2,96,readMostly,128,27268.9,NaN,ops/s
transaction,thrpt,dbcp2,96,writeHeavy,128,22581.8,NaN,ops/s
transaction,thrpt,dbcp2,96,longTx,128,6187.56,NaN,ops/s
transaction,thrpt,agroal,1,readMostly,128,5841.96,NaN,ops/s
transaction,thrpt,agroal,1,writeHeavy,128,4403.30,NaN,ops/s
transaction,thrpt,agroal,1,longTx,128,64.3188,NaN,ops/s
transaction,thrpt,agroal,2,readMostly,128,11161.9,NaN,ops/s
transaction,thrpt,agroal,2,writeHeavy,128,7308.72,NaN,ops/s
